 ,Dataset,MAE,RMSE,r2,mape,prediction_step,Day
0,Train,15.855141884362173,22.774769339713345,0.9428814463503535,0.05738170256107592,24,1.0
1,Test,16.699201258881253,24.552735398268258,0.8929385167754867,0.06336795915751922,24,1.0
0,Train,17.92544176357919,26.63604606669589,0.9217836726928563,0.06409127063529396,36,1.5
1,Test,18.471651919041484,26.858587647339686,0.8718850439104938,0.07044967285520913,36,1.5
0,Train,19.21650342669007,28.29930796228614,0.9118284352386359,0.06964024563963253,48,2.0
1,Test,19.408430055631868,28.2307359139248,0.8587503091244322,0.07399574688164205,48,2.0
0,Train,21.561495046583,31.631967744261384,0.8896977077584325,0.07906954923060433,60,2.5
1,Test,20.124631376329337,29.01510038134064,0.8507922910180578,0.07771732181911364,60,2.5
0,Train,22.963844938350537,33.603809852271475,0.8756762919790056,0.08329479496511683,72,3.0
1,Test,22.937265687870678,32.64875725691352,0.8106929453127887,0.08725188049078973,72,3.0
0,Train,25.789375479631477,37.47331184184603,0.8453630120929626,0.09518058245829736,84,3.5
1,Test,24.25568041532439,33.16402852818212,0.8050704557752034,0.095780078792898,84,3.5
0,Train,25.78056915452737,37.51422611722305,0.8449983045686043,0.09621643048861059,96,4.0
1,Test,24.292222833814748,34.83138597471336,0.7857922584883823,0.0942547421989935,96,4.0
0,Train,26.053051576367196,40.297420774550716,0.8212148604514204,0.09348813872033518,108,4.5
1,Test,26.233996960274595,37.22832456223671,0.7538609773723164,0.100665889467144,108,4.5
0,Train,26.979155286493853,40.02916683384517,0.8235191582263361,0.10002322525686869,120,5.0
1,Test,25.643224704499627,36.02371212657733,0.7700041318283004,0.10008146374233585,120,5.0
0,Train,28.034523784580376,40.554249595588324,0.8187964471396977,0.10499708366787841,132,5.5
1,Test,27.771511694104877,38.41626496858091,0.7401455112121123,0.10893960079808324,132,5.5
0,Train,27.1890485086636,39.77451354870998,0.8258246582989605,0.09953350136427593,144,6.0
1,Test,28.13266842462724,40.148966532117,0.7153950875589633,0.10816247265670562,144,6.0
0,Train,30.230766126189586,43.21219449223221,0.7949280391567287,0.11291513413259867,156,6.5
1,Test,29.699054546050768,41.76499753701072,0.6902164095485807,0.11530213938430338,156,6.5
0,Train,31.12343210315036,46.986680418154805,0.7568810819796261,0.11310271641472187,168,7.0
1,Test,28.397560944912506,39.93323956877282,0.7173739463614721,0.10916071442996292,168,7.0
0,Train,33.067049070654235,47.67317416418823,0.7505824678608052,0.1202519131848544,180,7.5
1,Test,28.303155465735934,39.088360744685374,0.7317921461327943,0.10843427308360837,180,7.5
0,Train,31.438495186406676,46.156332339182846,0.7668745669646445,0.113183412820179,192,8.0
1,Test,29.434140381149064,43.37102184374641,0.6704663065681868,0.11228112389482964,192,8.0
0,Train,31.875306031618543,46.52506273038645,0.7615933310727643,0.11643412056097129,204,8.5
1,Test,30.91535149478686,42.43288536769066,0.6817213618764815,0.11830176621466265,204,8.5
0,Train,33.41235673174606,50.09449733989299,0.7237152182642337,0.11926581716375335,216,9.0
1,Test,33.047017827474555,47.2343172907353,0.6037687049253311,0.12354452852173332,216,9.0
0,Train,34.31921183512007,50.30599419617769,0.721377368101712,0.1256288010084401,228,9.5
1,Test,33.302525537073414,45.483126756832995,0.6322207862461758,0.13007945509982616,228,9.5
0,Train,34.8835879231189,48.455831542088426,0.7413952089294296,0.13264043307319023,240,10.0
1,Test,32.52963882632663,43.628748104925506,0.6626438668705011,0.12897729451960996,240,10.0
0,Train,36.01298330833669,52.88029839104502,0.6940046220003953,0.12907268510044811,252,10.5
1,Test,30.787412157761903,43.0965868543521,0.6729714265862755,0.11827829657859582,252,10.5
0,Train,36.41418442757895,50.479632014229004,0.7192457560977481,0.13667101877797966,264,11.0
1,Test,34.352883557140636,46.61380548722484,0.6210943773579214,0.1352535247627981,264,11.0
0,Train,39.07448935532339,58.74160446655021,0.6244155500695938,0.13464468810602642,276,11.5
1,Test,29.406064207384034,42.79688931983742,0.6784851899719339,0.1094921732462755,276,11.5
0,Train,34.59584563684676,50.74911321490022,0.7181720977436167,0.12561266219577125,288,12.0
1,Test,31.90872535764212,45.943925207299266,0.6273081950597683,0.12106139592148629,288,12.0
0,Train,36.254979014832784,52.843588787573275,0.6935473024849665,0.13214878834537833,300,12.5
1,Test,34.3606041698321,46.45691739722995,0.6174890379783169,0.13270282292690674,300,12.5
0,Train,37.87478165644427,53.80497783081747,0.6820648438099808,0.1391676086962489,312,13.0
1,Test,40.312603657884395,56.36589396824452,0.4357568603136083,0.15332477187544524,312,13.0
0,Train,39.38134506050577,58.7628533912303,0.6210476611774278,0.14300876041729074,324,13.5
1,Test,34.07526991076934,47.182339945677036,0.6046402627408173,0.1301973360301296,324,13.5
0,Train,35.730111230656874,54.05003348012554,0.680317393899665,0.12431570552796302,336,14.0
1,Test,34.87891914354517,48.29041794675729,0.586700351835773,0.13301894412422155,336,14.0
0,Train,38.08485211580365,56.566838320260864,0.6517109627546784,0.1346800127236108,348,14.5
1,Test,34.49728620277267,47.944993204148616,0.5941363343513818,0.1325795924064059,348,14.5
0,Train,42.377775396382404,58.67124139137059,0.6271760436271308,0.16056215393285672,360,15.0
1,Test,37.385301605285825,50.6781595001541,0.5491643573326179,0.14464780084265766,360,15.0
0,Train,40.94121885110229,58.07521500003244,0.6284000715543641,0.1493570980220316,372,15.5
1,Test,37.030696586976575,49.03790925050817,0.5806604527966694,0.14811031081880066,372,15.5
0,Train,34.61592597488265,51.96164850000813,0.7045439319625747,0.12285599800328725,384,16.0
1,Test,40.72872526251114,57.83642416532417,0.42194721297544346,0.15544969010127896,384,16.0
0,Train,39.79350505923614,59.2615119185888,0.6196366087700247,0.1445748452966364,396,16.5
1,Test,40.39909006566834,53.651552266102904,0.4931674129807907,0.15859526565975443,396,16.5
0,Train,40.42110416695284,55.29500360197481,0.6632432989962158,0.1535435668036058,408,17.0
1,Test,38.889701225773365,52.355567573761356,0.5227193082126897,0.15215040478525987,408,17.0
0,Train,44.1232506704903,66.30044267369986,0.5223590406446083,0.16329810879466472,420,17.5
1,Test,43.97459500434491,60.18540519998582,0.3580141073160108,0.16871394489155525,420,17.5
0,Train,36.07385305646353,50.94836437533753,0.7142163294834873,0.13546760971581212,432,18.0
1,Test,38.327100429729214,52.70979184505983,0.5148607151265305,0.15030463601834665,432,18.0
0,Train,41.8657085530113,61.29516044966373,0.591555259114029,0.15193401551070052,444,18.5
1,Test,39.278733974012276,53.896680435158146,0.483571039335711,0.15206931571240692,444,18.5
0,Train,43.37965048052743,63.50840960495112,0.5559423136066522,0.15715824011799448,456,19.0
1,Test,42.425013985457255,59.70848618599099,0.37747619638548446,0.16164051763777718,456,19.0
0,Train,44.50243524407507,63.36959177523163,0.5642714586799362,0.1572435704411868,468,19.5
1,Test,42.63514664266268,58.770507824787884,0.3865878477066641,0.16026682582872528,468,19.5
0,Train,42.396888101446045,57.35593731530809,0.6376725580710814,0.16401708340778984,480,20.0
1,Test,41.47845636772874,54.62117072474869,0.4805184470234861,0.1701466015081023,480,20.0
0,Train,44.30827098572242,66.15004309192615,0.5268401556328701,0.15714874829010989,492,20.5
1,Test,42.735098554501626,56.34558100946229,0.43879428382793617,0.16881959242017686,492,20.5
0,Train,43.82164807862942,62.97402755163545,0.566039688734399,0.16031674581495117,504,21.0
1,Test,42.76083399273433,59.2584577401037,0.3931724076247507,0.16608371734351698,504,21.0
0,Train,38.90211743184686,58.566994261114935,0.6280011354013659,0.1348266521821226,516,21.5
1,Test,42.014789065042386,57.8846428502706,0.4130146894059811,0.16453212281259325,516,21.5
0,Train,43.493833746953115,63.336141002165576,0.5655333414858881,0.16240480179690794,528,22.0
1,Test,47.78664314438616,62.87890427231519,0.3189357613580929,0.1935166119371223,528,22.0
0,Train,49.92861613828939,70.27302061086978,0.45805391530044315,0.18759893203047115,540,22.5
1,Test,40.93824035423005,54.38073972091144,0.4875284524637612,0.16373619333048067,540,22.5
0,Train,44.50341053955784,64.48562319230555,0.5495105869853094,0.1637309426216997,552,23.0
1,Test,38.66467317252691,53.12972044181783,0.5044908972885158,0.15415523370736348,552,23.0
0,Train,38.11678310982813,55.14866529625524,0.670783034071845,0.1337063710048739,564,23.5
1,Test,41.0644114205553,56.94778805693023,0.4411086102774249,0.15864990950128116,564,23.5
0,Train,42.67936928271848,60.79140229221104,0.5955997686510666,0.16209741638503886,576,24.0
1,Test,42.029420446582336,56.801346286632324,0.44245247811955657,0.16450894817610756,576,24.0
0,Train,55.72784707634498,78.60527199845457,0.3195870401457679,0.21257628380955768,588,24.5
1,Test,42.52727466274724,56.098814410716265,0.44944612620267665,0.17264206240093394,588,24.5
0,Train,46.647688934713806,66.2906409654337,0.5243760697180024,0.1762138363891857,600,25.0
1,Test,43.386343779221384,56.89789767098042,0.4262330255719763,0.172671093664771,600,25.0
0,Train,44.848515115761984,65.6539652374748,0.532290586298624,0.1628764338869372,612,25.5
1,Test,42.766441031430794,58.76556158381083,0.40654661353194943,0.16977264473099055,612,25.5
0,Train,47.72267978866958,65.09960687226086,0.53457428814828,0.17907891628996098,624,26.0
1,Test,45.34194756456854,61.495447100939735,0.34415790393741696,0.17861298644597406,624,26.0
0,Train,45.892509289558355,61.162877773648944,0.5967468569026213,0.1816357279285178,636,26.5
1,Test,43.9648041472003,57.8377588373006,0.4134440640260091,0.17943256956350848,636,26.5
0,Train,48.61826111803599,67.31726597951534,0.5094319105410069,0.1905278464377793,648,27.0
1,Test,43.22123437078197,60.4688142261045,0.35062376121435335,0.16744375764511288,648,27.0
0,Train,44.316211994362035,62.84987848955693,0.5721789581568324,0.16244878298556392,660,27.5
1,Test,46.374995495264656,63.29241569590785,0.3099485220693924,0.1770141862112869,660,27.5
0,Train,44.65775380827329,64.96640811702768,0.5381459200932107,0.16745938859550905,672,28.0
1,Test,43.605162157357235,59.23641063245585,0.39362386400660976,0.1685856415018903,672,28.0
0,Train,49.693775984638286,75.31897966913422,0.37542330719178574,0.17041440667752492,684,28.5
1,Test,44.541719527455896,59.77418325567395,0.3761055205473437,0.1731650723658306,684,28.5
0,Train,49.381187156244806,71.70672446896225,0.444696089421325,0.18232465776047438,696,29.0
1,Test,43.44812375625868,58.92078389791307,0.3870420487923045,0.17526009228349199,696,29.0
0,Train,45.32985496495297,65.2158397735724,0.5389239835472714,0.16732505024837863,708,29.5
1,Test,43.840891306504346,58.02877737165087,0.41819591012005497,0.1742199392979685,708,29.5
0,Train,51.390554165531604,71.03002047786642,0.4535667272810998,0.19830772719866574,720,30.0
1,Test,44.35844691513807,58.973246661845735,0.40091530845721257,0.175194523801941,720,30.0
0,Train,53.29174429862555,76.41744587941102,0.36172353317587247,0.1938600618787251,732,30.5
1,Test,43.04122016121834,58.88940337946843,0.40148932524909475,0.16452357063501058,732,30.5
