 ,Dataset,MAE,RMSE,r2,mape,prediction_step,Day
0,Train,15.248417498443661,21.409402743605945,0.9495247671192828,0.056093442743884746,24,1.0
1,Test,17.696074735795964,25.61068885097626,0.8835133894992455,0.06693045049594981,24,1.0
0,Train,17.57349753964278,24.88828128172804,0.9317114772830702,0.06360325527949338,36,1.5
1,Test,19.51213149247829,28.680648018090157,0.8539130546716112,0.07385113159869147,36,1.5
0,Train,18.609799135726693,27.135953178830995,0.9189287106558158,0.06767945747707084,48,2.0
1,Test,18.941530903201354,27.806873960412663,0.8629599703386546,0.07140410816543932,48,2.0
0,Train,21.258246349777515,31.340765906163846,0.8917192311824657,0.07731864958890261,60,2.5
1,Test,20.66547001070261,30.280335111206757,0.83749584805942,0.0776760007234164,60,2.5
0,Train,22.401043281769397,31.94041377837098,0.8876797675588768,0.08489213919904737,72,3.0
1,Test,22.474509933777004,32.660843789119106,0.8105527568630493,0.0870895358375964,72,3.0
0,Train,25.487319917053824,36.33706036834422,0.8545985263313192,0.09561348468176109,84,3.5
1,Test,25.46207803069629,35.24433350647851,0.7798484681993906,0.10046143270922692,84,3.5
0,Train,24.221650529779087,35.32687332670052,0.8625467961550847,0.0889939549719915,96,4.0
1,Test,23.19431467138002,33.316022722869434,0.8040253263490396,0.08807615367613365,96,4.0
0,Train,25.348884225635086,37.69724846675331,0.8435425593540328,0.09238080563937257,108,4.5
1,Test,25.887772558579723,36.65225168006816,0.7614195744419242,0.0989336527848728,108,4.5
0,Train,25.567307343086448,36.55063407754038,0.8528587992100152,0.09547426773870932,120,5.0
1,Test,26.03249664512387,36.96676463195393,0.757804543359182,0.10048766223824787,120,5.0
0,Train,26.242185223656367,38.65361454897573,0.8353831859109746,0.09445413861080729,132,5.5
1,Test,27.04457791093588,39.10687154905512,0.7307187611006936,0.10349749923351022,132,5.5
0,Train,26.403589021952236,36.94152979724535,0.84975270221258,0.09950228410939557,144,6.0
1,Test,27.698193433529767,39.9298323931811,0.7184933716924766,0.10758592139314387,144,6.0
0,Train,28.427839706440913,41.994717245179075,0.8063208088546057,0.10456952300158959,156,6.5
1,Test,28.880058212949766,40.60595155340478,0.7071718167839733,0.10950524600131417,156,6.5
0,Train,30.94846472144682,44.951003842202056,0.7774907770955397,0.11379716065768085,168,7.0
1,Test,28.665253815462574,40.0456170594495,0.7157810129237846,0.10972080923081085,168,7.0
0,Train,30.222371967274576,42.6716838093743,0.8001710527432058,0.11399198962688059,180,7.5
1,Test,29.724415583646245,40.654103041226335,0.7098748735435649,0.11550958120626631,180,7.5
0,Train,30.884200953529948,43.504400196668385,0.7928936365343386,0.11793864688174507,192,8.0
1,Test,33.29740065668878,44.29056428227494,0.6563447809268383,0.1322636825308315,192,8.0
0,Train,30.962997177857957,43.88942900864761,0.7878395994765451,0.11420552262776228,204,8.5
1,Test,32.35258313619069,45.80360280165733,0.629147131364965,0.12119743693220664,204,8.5
0,Train,32.602661247699785,46.10689780040905,0.7659499582731034,0.12448689808833135,216,9.0
1,Test,34.336347321404446,47.178654370970946,0.6047020261437555,0.13330458794384498,216,9.0
0,Train,33.89544309238919,49.55991737034422,0.7295804630523801,0.12152135268390289,228,9.5
1,Test,33.22368498105112,46.00026748254142,0.6238099812405109,0.12737710315529285,228,9.5
0,Train,34.78079085735509,46.32642313965888,0.763624748316784,0.13751655286043613,240,10.0
1,Test,37.47191706618361,48.057971332901346,0.5906696231899253,0.15121682755260651,240,10.0
0,Train,35.05631006220961,50.24144420838819,0.7237824288384542,0.12888550189422227,252,10.5
1,Test,30.13676220481026,42.05639602027516,0.6885674125351302,0.11678914741890123,252,10.5
0,Train,35.37266762897826,47.38595651829257,0.7526036588855385,0.13630314223383982,264,11.0
1,Test,36.422693098058964,48.76941355464747,0.5852398744183359,0.14263893185135457,264,11.0
0,Train,37.1542280328916,53.721250588581874,0.6858708623012408,0.13590715758168923,276,11.5
1,Test,33.873389791839166,47.82802733293318,0.598448259090782,0.12823609664465369,276,11.5
0,Train,38.14215131824576,50.6903515643571,0.7188243686495586,0.14811030052786683,288,12.0
1,Test,35.76120870522256,47.321030504608466,0.6046315246516927,0.14075494274967776,288,12.0
0,Train,34.526314424971815,49.48113214901696,0.7313059214292956,0.12590259982964694,300,12.5
1,Test,32.91126093280906,45.01927108276763,0.6407969421149281,0.1237769962840185,300,12.5
0,Train,40.40195886565367,53.936262957125344,0.6805114157743252,0.15737738156720418,312,13.0
1,Test,45.89281577601682,60.5229361050609,0.34946080834674353,0.17787305814276466,312,13.0
0,Train,35.68740006916435,52.031345877801236,0.7028956849492636,0.13123996837377666,324,13.5
1,Test,33.79109055221758,46.65911334282416,0.613360293778746,0.12871085627081738,324,13.5
0,Train,33.4759967824986,48.25079822057749,0.7452371626528946,0.12071522279812179,336,14.0
1,Test,33.394998785516236,46.87112930304762,0.6106376610413954,0.12610012343309016,336,14.0
0,Train,36.59830396501481,52.270936727545795,0.7026030160319094,0.13158910609782382,348,14.5
1,Test,35.574574358313,48.76912499304121,0.5800635447909553,0.13478919549121052,348,14.5
0,Train,43.39500374438976,59.4229362052658,0.6175616190623233,0.16228749524435987,360,15.0
1,Test,36.63102434860072,51.11968099675335,0.5412745391741001,0.13763689563949477,360,15.0
0,Train,35.66249234832085,51.40986986578951,0.7088029451626854,0.12590575457982778,372,15.5
1,Test,37.83001138156926,52.62627118672901,0.5170444853879042,0.14417061376803778,372,15.5
0,Train,34.378945001073255,49.14807087543044,0.7356739146347953,0.12487405700272428,384,16.0
1,Test,40.58418192297266,55.210293421101966,0.4732497605686703,0.15698949059797138,384,16.0
0,Train,36.85237923954057,52.84102515804111,0.6975902942574024,0.1286776532566419,396,16.5
1,Test,43.7295602332824,60.266437099766925,0.36048463812588927,0.16316600076824075,396,16.5
0,Train,38.779781984251365,53.2110739398947,0.6881480145284375,0.14424764882280777,408,17.0
1,Test,37.070593097535195,52.008592005078455,0.5290245014031857,0.1370572261343415,408,17.0
0,Train,44.34406839231767,66.10551352863995,0.5251635248974731,0.1636639072714295,420,17.5
1,Test,48.153505794430274,66.87643124543622,0.2073357226943101,0.17861878547051932,420,17.5
0,Train,34.362689477903864,47.40379211340665,0.7525980676936319,0.1321740964173318,432,18.0
1,Test,39.57210176081947,53.751549169037006,0.49549460772133724,0.1506506976947158,432,18.0
0,Train,35.60715019835962,50.354414424547926,0.7243512446535103,0.13405550016796514,444,18.5
1,Test,40.84098136869992,54.8087933046055,0.46594370868954627,0.1594815593215701,444,18.5
0,Train,42.20335599438211,60.08963743052973,0.6024643467819173,0.15339200698311536,456,19.0
1,Test,48.05943178322346,70.9919086136254,0.11996175554842048,0.17915770789266464,456,19.0
